Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance,Orderd_hour,Orderd_minute,Orderd_picked_hour,Orderd_picked_minute
4.0,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Metropolitian,33,6.29,14.0,15.0,14.0,25.0
4.3,Cloudy,Jam,2,Snack,electric_scooter,2.0,No,Metropolitian,46,14.02,21.0,40.0,21.0,45.0
4.4,Cloudy,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,37,3.02,11.0,20.0,11.0,25.0
4.8,Stormy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,43,12.1,18.0,10.0,18.0,25.0
4.9,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Semi-Urban,46,16.64,20.0,30.0,20.0,35.0
4.5,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,32,13.68,17.0,45.0,17.0,55.0
4.5,Fog,High,2,Meal,scooter,0.0,No,Urban,26,6.29,12.0,45.0,12.0,30.0
4.4,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,31,14.02,17.0,20.0,17.0,35.0
4.9,Stormy,Jam,2,Drinks,scooter,0.0,No,Urban,25,16.38,20.0,50.0,20.0,35.0
4.8,Cloudy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,18,1.52,8.0,45.0,8.0,50.0
4.9,Stormy,Low,2,Drinks,electric_scooter,0.0,No,Urban,12,9.09,23.0,30.0,23.0,40.0
4.9,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,25,11.01,23.0,50.0,23.0,55.0
5.0,Stormy,Low,0,Buffet,motorcycle,1.0,No,Urban,22,14.02,22.0,15.0,22.0,25.0
4.9,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,42,17.08,21.0,50.0,21.0,35.0
4.6,Fog,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,19,4.54,22.0,35.0,22.0,40.0
4.8,Windy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,10.91,18.0,25.0,18.0,40.0
4.0,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,37,16.79,19.0,15.0,19.0,20.0
4.8,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Urban,20,12.29,20.0,10.0,20.0,20.0
4.9,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,15,1.53,10.0,55.0,11.0,10.0
4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,10.43,22.0,15.0,22.0,20.0
4.5,Windy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,25,12.48,18.0,35.0,18.0,45.0
4.1,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,38,4.66,17.0,45.0,17.0,30.0
4.8,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,30,10.59,18.0,10.0,18.0,15.0
4.5,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,29,10.64,18.0,50.0,19.0,5.0
4.7,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Urban,11,1.57,8.0,40.0,8.0,55.0
4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,22,6.21,12.0,20.0,12.0,25.0
4.5,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,43,13.41,21.0,10.0,21.0,25.0
4.7,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,19,6.22,13.0,35.0,13.0,40.0
4.1,Sunny,Jam,2,Meal,scooter,1.0,No,,31,10.25,21.0,15.0,21.0,30.0
4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,10,16.82,23.0,45.0,23.0,30.0
4.7,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,24,4.59,18.0,55.0,19.0,5.0
4.8,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,49,16.9,19.0,35.0,19.0,45.0
4.4,Cloudy,Medium,2,Snack,scooter,2.0,No,Urban,40,19.89,18.0,30.0,18.0,35.0
4.4,Fog,Jam,2,Meal,scooter,2.0,No,Metropolitian,45,16.41,20.0,50.0,20.0,35.0
4.8,Fog,Medium,2,Meal,electric_scooter,0.0,No,,15,4.66,17.0,35.0,17.0,40.0
4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,6.23,12.0,10.0,12.0,25.0
,,,3,Drinks,bicycle,1.0,No,,31,13.41,18.0,50.0,19.0,5.0
4.5,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,14.15,17.0,55.0,17.0,40.0
5.0,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,14,8.94,23.0,20.0,23.0,35.0
4.8,Windy,Low,1,Meal,scooter,0.0,No,Urban,14,16.83,22.0,45.0,22.0,30.0
4.4,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,31,9.07,19.0,30.0,19.0,35.0
4.9,Sandstorms,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,21,4.66,19.0,30.0,19.0,45.0
4.9,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,3.06,10.0,20.0,10.0,25.0
5.0,Sandstorms,Jam,1,Buffet,scooter,0.0,No,Urban,28,9.12,20.0,0.0,20.0,15.0
4.7,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,30,4.6,17.0,35.0,17.0,50.0
4.5,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Urban,28,4.59,19.0,40.0,19.0,45.0
5.0,Fog,Medium,2,Meal,scooter,1.0,No,Urban,17,6.15,15.0,50.0,15.0,35.0
4.6,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Metropolitian,13,3.06,9.0,55.0,10.0,5.0
4.8,Fog,High,2,Buffet,electric_scooter,0.0,No,Metropolitian,26,6.13,12.0,55.0,12.0,40.0
4.7,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,34,6.13,16.0,20.0,16.0,25.0
4.7,Fog,Medium,1,Meal,scooter,1.0,No,Metropolitian,30,16.64,17.0,50.0,17.0,55.0
4.8,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Urban,21,5.87,16.0,55.0,17.0,10.0
4.2,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,36,20.89,17.0,30.0,17.0,40.0
5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,35,16.85,17.0,15.0,17.0,25.0
,Sandstorms,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,15,10.28,22.0,50.0,23.0,5.0
4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,22,6.04,12.0,55.0,13.0,5.0
5.0,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,31,7.57,19.0,35.0,19.0,40.0
4.9,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Urban,16,13.97,22.0,50.0,23.0,5.0
4.1,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,42,20.21,19.0,45.0,19.0,50.0
5.0,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,11,1.55,10.0,35.0,10.0,40.0
5.0,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,9.07,19.0,55.0,20.0,10.0
4.6,Windy,Jam,0,Buffet,motorcycle,2.0,Yes,Urban,45,17.14,21.0,20.0,21.0,30.0
4.5,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Urban,15,4.56,22.0,20.0,22.0,35.0
,Cloudy,Jam,1,Meal,scooter,1.0,No,Metropolitian,32,7.45,19.0,50.0,20.0,5.0
4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Urban,38,17.14,18.0,0.0,18.0,15.0
4.3,Fog,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,36,12.07,18.0,15.0,18.0,20.0
4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Metropolitian,19,13.74,18.0,10.0,18.0,20.0
4.7,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,23,10.59,20.0,35.0,20.0,45.0
4.9,Sunny,Low,1,Drinks,scooter,1.0,No,Metropolitian,20,1.55,8.0,35.0,8.0,50.0
4.3,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,46,19.61,21.0,50.0,21.0,35.0
5.0,Sunny,Jam,1,Drinks,scooter,0.0,No,Metropolitian,28,16.85,20.0,20.0,20.0,30.0
4.6,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,25,6.13,12.0,40.0,12.0,50.0
4.6,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,27,17.07,19.0,50.0,19.0,35.0
4.6,Cloudy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,39,19.92,17.0,55.0,17.0,40.0
4.7,Windy,Low,2,Meal,scooter,1.0,No,Metropolitian,25,20.85,23.0,30.0,23.0,45.0
5.0,Cloudy,Low,2,Snack,electric_scooter,1.0,No,Urban,28,17.14,22.0,10.0,22.0,25.0
4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,Metropolitian,17,1.57,10.0,30.0,10.0,35.0
4.6,Fog,High,2,Meal,electric_scooter,0.0,No,Metropolitian,25,3.04,11.0,15.0,11.0,30.0
4.9,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,18,12.11,22.0,25.0,22.0,35.0
4.8,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,12,7.33,20.0,45.0,20.0,55.0
5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,42,19.36,21.0,35.0,21.0,50.0
4.3,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,52,4.53,20.0,55.0,21.0,10.0
4.5,Windy,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,20,7.79,17.0,25.0,17.0,35.0
4.7,Sandstorms,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,21,13.68,18.0,30.0,18.0,35.0
4.6,Windy,Medium,2,Meal,scooter,1.0,No,Metropolitian,26,4.66,17.0,35.0,17.0,40.0
4.6,Cloudy,Low,0,Snack,motorcycle,0.0,No,Urban,22,13.77,23.0,55.0,23.0,40.0
5.0,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,33,10.43,18.0,45.0,18.0,55.0
4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,30,16.9,19.0,20.0,19.0,30.0
4.7,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,17.14,22.0,50.0,22.0,55.0
4.7,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Urban,15,9.07,22.0,10.0,22.0,15.0
4.7,Sunny,Low,0,Buffet,motorcycle,0.0,No,Urban,21,4.68,23.0,50.0,23.0,35.0
4.1,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,1.53,9.0,55.0,10.0,10.0
4.4,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,7.65,23.0,35.0,23.0,50.0
4.6,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,12.12,23.0,55.0,23.0,40.0
4.8,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,27,12.11,20.0,15.0,20.0,30.0
4.8,Sunny,Jam,1,Drinks,scooter,0.0,No,Metropolitian,23,4.53,19.0,50.0,19.0,55.0
4.3,Cloudy,Medium,2,Snack,scooter,0.0,No,Metropolitian,35,11.01,17.0,10.0,17.0,20.0
4.9,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,19,3.02,9.0,35.0,9.0,40.0
3.6,Fog,Low,1,Snack,motorcycle,0.0,No,Metropolitian,36,14.02,22.0,55.0,23.0,10.0
4.8,Stormy,Low,2,Snack,scooter,0.0,No,Urban,10,7.77,23.0,10.0,23.0,25.0
4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,6.22,14.0,55.0,15.0,10.0
4.9,Stormy,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,30,20.44,19.0,20.0,19.0,35.0
4.8,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,14,4.56,21.0,40.0,21.0,50.0
4.8,Stormy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,34,7.76,17.0,25.0,17.0,40.0
4.7,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,21,3.09,11.0,55.0,12.0,10.0
4.6,Fog,High,0,Snack,motorcycle,1.0,No,Urban,20,1.51,11.0,45.0,11.0,50.0
4.0,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Urban,18,9.33,23.0,30.0,23.0,35.0
4.3,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,1.51,10.0,50.0,10.0,35.0
5.0,Cloudy,High,2,Drinks,scooter,2.0,No,Metropolitian,38,5.96,13.0,15.0,13.0,25.0
4.5,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,24,9.12,23.0,40.0,23.0,50.0
5.0,Sandstorms,High,1,Drinks,scooter,1.0,No,Urban,32,6.21,13.0,55.0,14.0,10.0
5.0,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26,17.07,18.0,20.0,18.0,30.0
4.7,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,3.1,11.0,20.0,11.0,30.0
4.8,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,7.68,17.0,40.0,17.0,55.0
4.7,Sunny,Jam,1,Meal,motorcycle,0.0,No,Urban,12,9.19,19.0,55.0,20.0,10.0
3.7,Stormy,Medium,1,Drinks,scooter,1.0,No,Urban,35,19.76,18.0,20.0,18.0,25.0
5.0,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,28,9.32,20.0,45.0,20.0,50.0
4.9,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,27,3.04,11.0,40.0,11.0,50.0
4.1,Windy,Jam,0,Drinks,motorcycle,0.0,Yes,Metropolitian,52,16.64,21.0,45.0,21.0,30.0
4.8,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,22,10.57,21.0,40.0,21.0,55.0
4.0,Fog,Medium,2,Meal,motorcycle,1.0,No,Urban,38,20.44,17.0,55.0,17.0,40.0
4.9,Sunny,High,1,Meal,motorcycle,0.0,No,Metropolitian,11,6.05,13.0,50.0,14.0,5.0
4.9,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,11,16.98,22.0,40.0,22.0,50.0
4.2,Stormy,Jam,2,Snack,scooter,1.0,No,,32,20.25,19.0,40.0,19.0,50.0
,,,2,Buffet,scooter,1.0,No,Metropolitian,36,12.58,22.0,15.0,22.0,30.0
4.6,Fog,Low,0,Meal,motorcycle,0.0,No,Metropolitian,24,3.11,10.0,50.0,10.0,35.0
4.8,Stormy,High,2,Snack,electric_scooter,1.0,No,Metropolitian,26,5.97,14.0,25.0,14.0,35.0
4.3,Sandstorms,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,9.12,21.0,0.0,21.0,15.0
4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,1.55,9.0,50.0,10.0,5.0
4.9,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,16,9.18,18.0,10.0,18.0,20.0
5.0,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,9.19,18.0,30.0,18.0,35.0
4.8,Cloudy,Low,2,Snack,motorcycle,1.0,,Urban,13,1.51,8.0,20.0,8.0,25.0
4.9,Fog,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,18,9.19,18.0,25.0,18.0,30.0
4.5,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,4.53,19.0,45.0,19.0,50.0
4.8,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,28,7.76,19.0,20.0,19.0,30.0
4.9,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,3.1,10.0,25.0,10.0,35.0
